,id,newspaper,year,month,day,link
0,1,ahora,1931,4,9,https://hemerotecadigital.bne.es/hd/es/viewer?id=181a18db-2586-4289-afb5-af0e9681f492
1,2,ahora,1932,4,15,https://hemerotecadigital.bne.es/hd/es/viewer?id=ced5043f-0ee6-4bab-b9ac-2f4be94b0e91
2,3,ahora,1932,9,16,https://hemerotecadigital.bne.es/hd/es/viewer?id=cff641fc-a465-486a-a465-335b0162b22c
3,4,ahora,1935,1,9,https://hemerotecadigital.bne.es/hd/es/viewer?id=2c298fe5-34ad-4eb9-8d58-4f670b5e8aa8
4,5,ahora,1935,11,15,https://hemerotecadigital.bne.es/hd/es/viewer?id=18c39256-fd15-4c4b-8f06-e7564f7bcfe6
5,6,ahora,1937,12,9,https://hemerotecadigital.bne.es/hd/es/viewer?id=321a79b0-b190-4038-9bb8-7997d1023d05
6,7,ahora,1937,2,12,https://hemerotecadigital.bne.es/hd/es/viewer?id=e7e50c16-56c6-483e-8dc2-e4cf2c1b7756
7,8,andalucia,1916,11,1,https://hemerotecadigital.bne.es/hd/es/viewer?id=6e66669b-bd02-4b45-acd7-7026870e7b70
8,9,andalucia,1916,12,1,https://hemerotecadigital.bne.es/hd/es/viewer?id=d304d223-56cc-4646-9b8c-3817e33e957d
9,10,andalucia,1916,6,1,https://hemerotecadigital.bne.es/hd/es/viewer?id=ddc46c97-be7d-4d86-828d-f55db7ad7e83
10,11,andalucia,1917,11,1,https://hemerotecadigital.bne.es/hd/es/viewer?id=ace47294-cd5c-40de-ab2a-8e0d60c1946c
11,12,andalucia,1917,5,1,https://hemerotecadigital.bne.es/hd/es/viewer?id=29430053-efbe-4e64-a90d-94f9c83b66b9
12,13,ceda,1934,3,1,https://hemerotecadigital.bne.es/hd/es/viewer?id=164a1241-06af-4699-98c9-3a8306288e92
13,14,ceda,1934,6,1,https://hemerotecadigital.bne.es/hd/es/viewer?id=2c226259-c68d-47ff-8b92-10c744b4954d
14,15,ceda,1935,2,15,https://hemerotecadigital.bne.es/hd/es/viewer?id=cd42c7c7-f6d9-4f1c-ad11-83835dafc8c8
15,16,ceda,1935,7,1,https://hemerotecadigital.bne.es/hd/es/viewer?id=d436ff87-ccaf-455d-a1e0-999867b2a2db
16,17,el amigo,1915,11,1,https://hemerotecadigital.bne.es/hd/es/viewer?id=88e3ea86-faff-4ae0-b04a-fc534f6838da
17,18,el amigo,1917,7,1,https://hemerotecadigital.bne.es/hd/es/viewer?id=be1588cf-3103-4dbc-b58a-b68a6614f2ba
18,19,el amigo,1919,2,1,https://hemerotecadigital.bne.es/hd/es/viewer?id=911ae3ba-c059-40fe-9ebf-de463d8f5697
19,20,el amigo,1919,7,1,https://hemerotecadigital.bne.es/hd/es/viewer?id=6b2aa781-252e-41dc-b76d-1c647b7abe8f
20,21,el amigo,1919,7,15,https://hemerotecadigital.bne.es/hd/es/viewer?id=2951efcb-4f18-449f-8a03-5bd0c01e49f4
21,22,el cantábrico,1924,2,15,https://hemerotecadigital.bne.es/hd/es/viewer?id=dac64fab-f0ea-4966-96d6-2fee30609ac7
22,23,el cantábrico,1924,6,1,https://hemerotecadigital.bne.es/hd/es/viewer?id=8833fdae-d762-45e9-b161-d3e41a65c236
23,24,el cantábrico,1936,10,6,https://hemerotecadigital.bne.es/hd/es/viewer?id=c3c80d6e-bb3b-42df-bd0d-882bc03199a2
24,25,el cantábrico,1936,3,4,https://hemerotecadigital.bne.es/hd/es/viewer?id=8fa1a137-ba2f-49c9-9784-8291f4eeeb2d
25,26,el cantábrico,1937,1,22,https://hemerotecadigital.bne.es/hd/es/viewer?id=3fd06b37-aa61-419e-813a-db690d285a13
26,27,el cruzado español,1929,8,16,https://hemerotecadigital.bne.es/hd/es/viewer?id=ac46aa79-66ad-46d3-b5fa-229dd667786e
27,28,el cruzado español,1930,3,14,https://hemerotecadigital.bne.es/hd/es/viewer?id=44426849-3ec4-429e-92cb-527e02bcb2f6
28,29,el cruzado español,1930,9,19,https://hemerotecadigital.bne.es/hd/es/viewer?id=62461a27-4615-443c-8349-916527b92a85
29,30,el cruzado español,1931,8,14,https://hemerotecadigital.bne.es/hd/es/viewer?id=4ddb68d5-f96b-432b-8626-ee91fc629a5a
30,31,el cruzado español,1932,12,16,https://hemerotecadigital.bne.es/hd/es/viewer?id=c88c30a1-159e-4852-9f5c-f2d6f7083ce5
31,32,el cruzado español,1932,5,13,https://hemerotecadigital.bne.es/hd/es/viewer?id=5b0beb10-22d7-4d15-9b14-84955e3c1090
32,33,el imparcial,1891,4,16,https://hemerotecadigital.bne.es/hd/es/viewer?id=d5e82d64-454c-4e83-a1d6-6518ba2a63b8
33,34,el imparcial,1895,7,10,https://hemerotecadigital.bne.es/hd/es/viewer?id=bafbbe54-712d-41a2-96d4-bc26dcc17c0a
34,35,el imparcial,1900,10,24,https://hemerotecadigital.bne.es/hd/es/viewer?id=4608e854-91a2-47f9-97a3-acd58635aab2
35,36,el imparcial,1904,10,21,https://hemerotecadigital.bne.es/hd/es/viewer?id=e308e611-ffab-4261-9348-e3c86a006856
36,37,el imparcial,1914,5,15,https://hemerotecadigital.bne.es/hd/es/viewer?id=00aaad34-ebbe-4a5d-b1af-1e953ad2c664
37,38,el imparcial,1923,12,20,https://hemerotecadigital.bne.es/hd/es/viewer?id=ad118f36-a0da-42ba-938d-6625ad18bee6
38,39,el imparcial,1930,3,13,https://hemerotecadigital.bne.es/hd/es/viewer?id=aacee5f2-c2fb-477c-8336-3eb0cca1b62a
39,40,el pais,1890,2,22,https://hemerotecadigital.bne.es/hd/es/viewer?id=af142aa9-95e9-43c7-9868-4e04a2ddc73b
40,41,el pais,1894,5,12,https://hemerotecadigital.bne.es/hd/es/viewer?id=07550362-08a6-45c2-bbf2-51192d618bb6
41,42,el pais,1899,4,13,https://hemerotecadigital.bne.es/hd/es/viewer?id=6f9e383f-a6a0-4e94-9fe2-acc664077c0f
42,43,el pais,1902,10,15,https://hemerotecadigital.bne.es/hd/es/viewer?id=a89960b1-eccc-45db-9892-f98c299e50a3
43,44,el pais,1905,9,20,https://hemerotecadigital.bne.es/hd/es/viewer?id=270b7050-839f-4c41-81de-14ca88282fd3
44,45,el pais,1909,11,20,https://hemerotecadigital.bne.es/hd/es/viewer?id=37d415fa-b4ad-4a8a-8cda-ed68f4766bd9
45,46,el pais,1912,9,11,https://hemerotecadigital.bne.es/hd/es/viewer?id=acf1fb37-c3ee-4c18-9531-f571efdac475
46,47,el pais,1916,4,13,https://hemerotecadigital.bne.es/hd/es/viewer?id=6e292172-aefd-42ad-8ef9-98c0a1c5a098
47,48,el pais,1920,1,17,https://hemerotecadigital.bne.es/hd/es/viewer?id=221667e5-a2d9-4f58-8107-e00904c34c35
48,49,el siglo futuro,1893,4,12,https://hemerotecadigital.bne.es/hd/es/viewer?id=3a076c6f-e11c-4383-9db2-7dd492fe6b37
49,50,el siglo futuro,1899,9,19,https://hemerotecadigital.bne.es/hd/es/viewer?id=f181ffea-57e8-4534-8d12-5a734510f772
50,51,el siglo futuro,1905,11,17,https://hemerotecadigital.bne.es/hd/es/viewer?id=413fef0f-2caa-4266-93a3-96bdcc63bf26
51,52,el siglo futuro,1912,1,23,https://hemerotecadigital.bne.es/hd/es/viewer?id=a2e8d629-3d29-4e7a-9609-eeed1008f972
52,53,el siglo futuro,1920,12,21,https://hemerotecadigital.bne.es/hd/es/viewer?id=9cd982b8-cc6d-4759-8e49-71038a4e1c46
53,54,el siglo futuro,1928,7,26,https://hemerotecadigital.bne.es/hd/es/viewer?id=99ee8c23-b4bc-4fed-bd1b-3eaff1b293e4
54,55,el siglo futuro,1936,4,23,https://hemerotecadigital.bne.es/hd/es/viewer?id=ae5eac21-3e50-48ea-916c-c0b33ca04a67
55,56,el sol,1918,2,14,https://hemerotecadigital.bne.es/hd/es/viewer?id=a52ff135-4cae-4448-ac0e-85a9de7fe688
56,57,el sol,1918,8,11,https://hemerotecadigital.bne.es/hd/es/viewer?id=7bf5adda-542b-448d-9677-2ec2f8b8384a
57,58,el sol,1921,10,8,https://hemerotecadigital.bne.es/hd/es/viewer?id=ebf5021e-e857-40f0-913d-1ce0145f165e
58,59,el sol,1921,4,28,https://hemerotecadigital.bne.es/hd/es/viewer?id=ef4b9702-6b43-46ae-ba6b-119207dc2ef5
59,60,el sol,1925,8,21,https://hemerotecadigital.bne.es/hd/es/viewer?id=e42a540a-f9c9-4a3a-a3e8-4215bf0b58ae
60,61,el sol,1930,10,22,https://hemerotecadigital.bne.es/hd/es/viewer?id=bd5ae412-1105-48a5-9c19-858158dfb36f
61,62,el sol,1930,4,12,https://hemerotecadigital.bne.es/hd/es/viewer?id=68162adc-2a08-4ad1-b089-096fca5d6c41
62,63,el sol,1934,12,21,https://hemerotecadigital.bne.es/hd/es/viewer?id=04c1ebac-91d9-4290-a5d2-d6ab7fd63ee3
63,64,el sol,1934,5,17,https://hemerotecadigital.bne.es/hd/es/viewer?id=676c54e6-1ff1-421b-a7a7-9fd615041599
64,65,el sol,1938,10,1,https://hemerotecadigital.bne.es/hd/es/viewer?id=b0de2129-758c-4bd4-abcf-640034680fe5
65,66,la accion,1916,3,15,https://hemerotecadigital.bne.es/hd/es/viewer?id=415bac07-9e61-4141-87a8-7ee207fbc62a
66,67,la accion,1918,3,20,https://hemerotecadigital.bne.es/hd/es/viewer?id=b5205a20-b7d3-4ced-9ab2-96ddd57b7288
67,68,la accion,1919,12,19,https://hemerotecadigital.bne.es/hd/es/viewer?id=0490687f-48cb-4a6c-83cb-72f1cdc713e1
68,69,la accion,1921,9,8,https://hemerotecadigital.bne.es/hd/es/viewer?id=8984b45a-feaa-4b48-ba68-ffceb2cd6596
69,70,la accion,1924,2,13,https://hemerotecadigital.bne.es/hd/es/viewer?id=76896e06-ace2-4ffd-af72-d5ef9b075dbd
70,71,la actualidad,1906,10,28,https://hemerotecadigital.bne.es/hd/es/viewer?id=af164baf-76b8-41c1-b254-2390fb74cac9
71,72,la actualidad,1906,8,12,https://hemerotecadigital.bne.es/hd/es/viewer?id=ca92d7b4-5c45-45b1-8834-b62db2cf027d
72,73,la actualidad,1909,10,19,https://hemerotecadigital.bne.es/hd/es/viewer?id=2ef3748d-5744-4a62-a930-12c7d09685e8
73,74,la actualidad,1909,3,4,https://hemerotecadigital.bne.es/hd/es/viewer?id=9623b60e-3e30-4730-88d0-915dcbcc5bb4
74,75,la actualidad,1911,4,4,https://hemerotecadigital.bne.es/hd/es/viewer?id=aadde9d8-ccc2-4b48-a7e1-d30394cf6566
75,76,la actualidad,1911,5,30,https://hemerotecadigital.bne.es/hd/es/viewer?id=b7026074-9d6a-4ce2-b485-aed6ad74ea2d
76,77,la dinastia,1890,2,8,https://hemerotecadigital.bne.es/hd/es/viewer?id=82300170-c016-4bb7-a558-cfa30b5fd490
77,78,la dinastia,1890,4,18,https://hemerotecadigital.bne.es/hd/es/viewer?id=b053d575-e0b3-4d10-b32c-1ef87d608269
78,79,la dinastia,1891,10,1,https://hemerotecadigital.bne.es/hd/es/viewer?id=a7318ba5-8f23-4453-8950-804e46e41ba5
79,80,la dinastia,1891,8,21,https://hemerotecadigital.bne.es/hd/es/viewer?id=1d7e3a8a-f39d-4735-93b7-ca7f6fec7a70
80,81,la dinastia,1892,4,9,https://hemerotecadigital.bne.es/hd/es/viewer?id=a3ab8cda-e4ab-4d6b-aeb2-f6aab1d599ae
81,82,la dinastia,1892,6,29,https://hemerotecadigital.bne.es/hd/es/viewer?id=81e1f9ec-5078-467a-a711-fa9569cbe910
82,83,la dinastia,1896,3,7,https://hemerotecadigital.bne.es/hd/es/viewer?id=f0249ced-40d0-4334-bb25-2fb791a2707e
83,84,la dinastia,1896,7,24,https://hemerotecadigital.bne.es/hd/es/viewer?id=5b37e78a-d7e4-4e99-bb09-9408a24b3e6d
84,85,la dinastia,1901,6,11,https://hemerotecadigital.bne.es/hd/es/viewer?id=e0158feb-2724-4b12-861d-79aeea22b3d9
85,86,la dinastia,1901,7,14,https://hemerotecadigital.bne.es/hd/es/viewer?id=7306a65f-342b-4e2a-b940-774598ce778a
86,87,las noticias,1898,3,9,https://hemerotecadigital.bne.es/hd/es/viewer?id=18468cb8-f3d2-42ab-a755-b98c6bcb502c
87,88,las noticias,1899,8,16,https://hemerotecadigital.bne.es/hd/es/viewer?id=5f4df02b-721a-4618-9792-8e86a64ed944
88,89,las noticias,1901,9,12,https://hemerotecadigital.bne.es/hd/es/viewer?id=19964d04-97bb-4a7d-87ba-fb6966f631b9
89,90,solidaridad obrera,1936,11,15,https://hemerotecadigital.bne.es/hd/es/viewer?id=bdfc2a84-bf5e-424e-a6be-e5d9cdbb2373
90,91,solidaridad obrera,1937,12,9,https://hemerotecadigital.bne.es/hd/es/viewer?id=e9844fd4-c779-41a9-92d7-c4ac4fa436ab
91,92,solidaridad obrera,1937,6,17,https://hemerotecadigital.bne.es/hd/es/viewer?id=adb99069-b0df-4722-907a-941851b1a8a4
92,93,solidaridad obrera,1938,6,9,https://hemerotecadigital.bne.es/hd/es/viewer?id=4558b364-ac22-4e3b-894c-67838f5c6ca1
93,94,solidaridad obrera,1938,8,18,https://hemerotecadigital.bne.es/hd/es/viewer?id=64cd14fe-f657-48ad-946c-f368de37ed21
94,95,solidaridad obrera,1939,1,12,https://hemerotecadigital.bne.es/hd/es/viewer?id=18c5f3ac-8b05-45a1-96c1-e72859015150
95,96,vida socialista,1910,2,20,https://hemerotecadigital.bne.es/hd/es/viewer?id=3e9042d9-c618-4eda-931b-1dfe287f006d
96,97,vida socialista,1910,7,24,https://hemerotecadigital.bne.es/hd/es/viewer?id=55a64676-d914-4dc9-9c03-4e822e6a983d
97,98,vida socialista,1911,12,17,https://hemerotecadigital.bne.es/hd/es/viewer?id=fc68430d-7115-40e3-8672-088925dca967
98,99,vida socialista,1911,4,16,https://hemerotecadigital.bne.es/hd/es/viewer?id=37bd931f-9223-4f17-838d-448ff691e5bb
99,100,vida socialista,1912,7,14,https://hemerotecadigital.bne.es/hd/es/viewer?id=a627c4fb-eadb-45cc-a723-1fb711f49be9
